SYMBOL|SERIES|OPEN|HIGH|LOW|CLOSE|LAST|PREVCLOSE|TOTTRDQTY|TOTTRDVAL|TOTALTRADES
ITDCEM|EQ|74.80|76.25|72.1|72.9|73.35|76.25|688954|51137881.55|7207
ITI|EQ|111.10|111.6|110|110.1|110.15|113.95|180451|19966770.7|3462
IVC|BE|8.55|8.55|8.05|8.1|8.1|8.45|282636|2326958.6|603
IVP|EQ|143.00|143|125.05|127.75|126|141.45|362232|49828240.25|16913
IVZINGOLD|EQ|4392.90|4495.7|4389.7|4408.95|4403.75|4389.7|115|509271|57
IVZINNIFTY|EQ|1800.00|1928.99|1800|1837.55|1830|1883.15|33|60759.13|14
IWEL|BE|708.05|752.45|708.05|723.05|720.1|744.6|634|460260.7|52
IZMO|EQ|80.50|89.7|77.15|78.8|77.95|84.5|108011|8748613.7|1476
J&KBANK|EQ|38.80|38.95|36.1|36.55|36.65|39.8|6054799|225670292.1|19933
JAGRAN|EQ|73.30|73.5|71.05|71.5|71.75|75|470611|34046842.2|7055
JAGSNPHARM|EQ|165.50|165.8|157.55|163.85|164.05|167.3|171590|27799953.55|2792
JAIBALAJI|EQ|50.55|51.2|47.4|49|48.75|51.45|116948|5775801.7|700
JAICORPLTD|EQ|123.00|124.4|115.25|116.15|115.95|127.2|1587236|191183193.2|12753
JAINAM|SM|176.75|193.8|176.75|192|192|186|24000|4470400|12
JAINSTUDIO|BZ|2.05|2.05|1.95|2.05|2.05|2.05|293|591.6|12
JAIPURKURT|EQ|79.50|79.5|75.85|76.7|76|79.8|2943|226739.2|69
JALAN|SM|17.20|17.2|16.45|16.45|16.45|17.3|9000|150450|3
JAMNAAUTO|EQ|95.00|104.5|95|101.5|101.9|106.9|1407207|142644192.4|24664
JASH|EQ|487.00|507.9|479.95|497.45|498|486.25|155516|77009666.8|3451
JAYAGROGN|EQ|230.10|245|226.85|236.15|230.1|242.45|96426|22931849.65|3841
JAYBARMARU|EQ|171.10|173.85|167|168|167.1|176.4|37566|6379944.35|1678
JAYNECOIND|BE|26.15|26.15|26.15|26.15|26.15|27.5|27922|730160.3|102
JAYSREETEA|EQ|99.00|99.75|95.8|97.1|95.95|101.5|39622|3891893|1293
JBCHEPHARM|EQ|1675.00|1797.75|1579.9|1641.9|1627.75|1705.75|157126|273536569.2|20756
JBFIND|BE|19.45|19.45|17.75|18.05|17.75|18.65|223606|3999784.1|608
JBMA|EQ|1365.00|1397.5|1354.75|1354.75|1354.75|1426.05|83425|113583776.2|4844
JCHAC|EQ|1802.00|1899|1755|1847.65|1854.9|1809.55|49542|92231338.75|7473
JETAIRWAYS|BZ|85.00|85.5|83|83.6|83.5|85.7|48946|4115182.7|822
JETFREIGHT|EQ|71.95|72.6|69.95|70.95|70.4|72.65|42535|3026369.75|442
JHS|EQ|25.10|25.4|23.5|24.6|24.6|26.25|210687|5160188.5|1354
JIKIND|BE|1.15|1.15|1.15|1.15|1.15|1.1|213873|245953.95|92
JINDALPHOT|EQ|306.00|324.95|302.8|318.45|318|318.7|52803|16344963.75|1328
JINDALPOLY|EQ|1270.00|1329|1250|1287.1|1275|1283.8|113844|147927162.1|6895
JINDALSAW|EQ|98.10|98.4|95|95.45|95.6|100|1106005|107103360.8|9709
JINDALSTEL|EQ|422.35|429|402.5|407.65|404.9|436.4|8907990|3708013288|83360
JINDCOT|BE|4.90|4.9|4.5|4.55|4.5|4.7|129984|624895.7|324
JINDRILL|EQ|205.90|209.8|190|193.55|192|209.7|387314|78393222.95|15774
JINDWORLD|EQ|322.55|327.55|300|307.2|301.5|335.35|342901|106597166.7|24873
JISLDVREQS|EQ|25.55|25.95|23|23|23|25.55|93803|2197137.55|489
JISLJALEQS|EQ|43.00|43|38.3|38.75|39.2|45|6943339|281922471.7|16843
JITFINFRA|BE|150.75|152.95|150.75|150.75|150.75|158.65|12796|1933949|209
JIYAECO|BZ|4.10|4.1|3.8|3.8|3.8|3.95|109624|417659.6|201
JKCEMENT|EQ|3159.85|3174.4|3040|3063|3070|3196.35|135346|416965037.7|22636
JKIL|EQ|170.00|178.8|167.5|171.1|169|175.1|250222|43518657.9|7346
JKLAKSHMI|EQ|507.55|511.6|486.25|489.15|488|519.1|177593|88631636.75|19755
JKPAPER|EQ|225.00|227.75|215.2|218.8|217|231.95|564354|125598529.7|9937
JKTYRE|EQ|121.25|121.9|117|117.25|117|121.25|499901|59294745.9|7960
JMA|EQ|75.00|76|72.4|72.95|72.55|78.15|46364|3438760.05|845
JMCPROJECT|EQ|100.00|100.45|96.1|97.95|97.85|102.9|186206|18403515.3|3327
JMFINANCIL|EQ|69.10|70.15|67.15|67.6|67.7|70|634250|43484848.3|5867
JMTAUTOLTD|BZ|2.45|2.45|2.45|2.45|2.45|2.55|56497|138417.65|263
JOCIL|EQ|175.00|179.7|172.1|176.45|179|180.8|31440|5524017.55|633
JPASSOCIAT|EQ|9.90|10.3|9.2|9.45|9.35|10.2|15304669|148815308|11410
JPINFRATEC|EQ|3.35|3.4|3.3|3.3|3.3|3.45|4803108|15969162.5|8511
JPOLYINVST|EQ|315.00|326.3|305.15|305.6|305.15|321.2|11698|3617541.9|352
JPPOWER|EQ|8.85|9.25|8.55|8.7|8.7|8.5|150053325|1330038010|121995
JSL|EQ|204.50|205|190|191.7|191.75|204.5|1119232|221841394|18072
JSLHISAR|EQ|385.00|397.95|372|375|374|395.05|170929|66007340.25|8778
JSWENERGY|BE|338.00|338|324.25|324.35|324.25|341.3|452321|147971738|8533
JSWHL|EQ|4100.00|4100|3932.15|3980.35|3999.9|4111.05|578|2301948.2|244
JSWISPL|EQ|35.00|36|33.2|33.8|34|36.8|3162208|109893525.7|8571
JSWSTEEL|EQ|656.30|665|604.3|626.55|627.95|671.4|6491576|4119068677|99699
JTEKTINDIA|EQ|85.00|85.8|82|82.45|82.05|86.25|145084|12044879.65|2859
JTLINFRA|EQ|230.00|238.6|226.55|230.9|229|242.5|44964|10496207.7|2641
JUBLFOOD|EQ|2990.00|3019|2890.25|2947.7|2937|3080|1212832|3601073160|122068
JUBLINDS|EQ|515.00|520|489.65|497.05|498|521.6|32812|16459145.6|2589
JUBLINGREA|EQ|539.90|542.1|521|526.35|525|553.7|522354|278786742.7|18037
JUBLPHARMA|EQ|467.05|479.75|455|457.4|456|461.25|232053|107342701|8447
JUNIORBEES|EQ|443.00|443|421.31|422.79|426|437.15|262549|111956414.3|15062
JUSTDIAL|EQ|829.90|833.6|782.6|792.75|792|848.6|437138|354832611.5|20963
JYOTHYLAB|EQ|137.50|137.9|135.1|135.65|136|138.15|217453|29706286.55|4531
JYOTISTRUC|BZ|23.10|24.6|22.75|23.35|22.8|23.9|135815|3146719.05|291
KABRAEXTRU|EQ|449.00|463|440|446.5|443|474.8|123041|55905019.45|9394
KAJARIACER|EQ|1259.00|1259|1215.05|1246.15|1243.05|1270.25|120899|149725820.4|27377
KAKATCEM|EQ|236.95|237.3|212.65|218.45|212.65|238.05|21987|4936729.8|1075
KALPATPOWR|EQ|385.60|385.65|372.05|377.05|384|391.9|104775|39831936.85|7439
KALYANIFRG|BE|191.10|197.55|188|189.5|189.5|195.95|265|50829.85|24
